URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://orangecounty.craigslist.org//cto/5886175251.html,2010,Toyota,Camry,$2028,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5885540299.html,2010,Toyota,Camry,$9900,California,unk,automatic,gas,unk,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5885473325.html,2011,Toyota,Camry,$9999,California,85700,automatic,gas,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5885409116.html,2011,Toyota,Camry,$9995,California,87238,automatic,gas,black,unk,unk,clean
https://orangecounty.craigslist.org//cto/5885364212.html,2015,Toyota,Camry,$17499,California,12583,automatic,gas,blue,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5881027618.html,2012,Toyota,Camry,$8800,California,unk,automatic,gas,blue,4 cylinders,like new,salvage
https://orangecounty.craigslist.org//ctd/5884448805.html,2012,Toyota,Camry,$12995,California,77026,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5884445048.html,2014,Toyota,Camry,$14900,California,52626,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5884260036.html,2010,Toyota,Camry,$8450,California,103300,automatic,gas,silver,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5884232901.html,2010,Toyota,Camry,$7999,California,125,automatic,gas,unk,unk,like new,clean
https://orangecounty.craigslist.org//ctd/5884246669.html,2010,Toyota,Camry,$9900,California,unk,automatic,gas,unk,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5884061867.html,2015,Toyota,Camry,$16213,California,38060,automatic,gas,silver,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5884034576.html,2015,Toyota,Camry,$15999,California,25147,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5883993842.html,2014,Toyota,Camry,$14576,California,81651,automatic,gas,black,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5883979509.html,2015,Toyota,Camry,$15999,California,40017,automatic,gas,silver,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5883944262.html,2014,Toyota,Camry,$12995,California,75000,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5883880402.html,2015,Toyota,Camry,$14985,California,36278,automatic,gas,blue,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5883723866.html,2015,Toyota,Camry,$20999,California,17725,automatic,gas,grey,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5883635211.html,2014,Toyota,Camry,$14777,California,43916,automatic,gas,white,unk,Used,clean
https://orangecounty.craigslist.org//ctd/5883601213.html,2015,Toyota,Camry,$21938,California,15,automatic,gas,red,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5883037762.html,2010,Toyota,Camry,$2020,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5882920853.html,2010,Toyota,Camry,$9997,California,unk,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5882867375.html,2014,Toyota,Camry,$14350,California,40422,automatic,gas,black,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5882853078.html,2015,Toyota,Camry,$14979,California,40792,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5882693272.html,2013,Toyota,Camry,$13800,California,32980,automatic,gas,silver,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5838095700.html,2011,Toyota,Camry,$10800,California,64600,automatic,gas,black,6 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5838099765.html,2011,Toyota,Camry,$10800,California,64600,automatic,gas,black,6 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5882645760.html,2012,Toyota,Camry,$13995,California,74291,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5882625908.html,2014,Toyota,Camry,$14350,California,40422,automatic,gas,black,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5882607961.html,2015,Toyota,Camry,$14380,California,60731,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5882601098.html,2015,Toyota,Camry,$14979,California,40792,automatic,gas,white,4 cylinders,unk,clean
